1)tuId,2)tuName,3)operonName,4)tuGenes
RDBECOLITUC00317,ybhP-clsB-ybhN,ybhP-clsB-ybhN,ybhP;clsB;ybhN;
RDBECOLITUC00318,cecR-ybhGFSR,cecR-ybhGFSR,cecR;ybhG;ybhF;ybhS;ybhR;
RDBECOLITUC00319,hcxB,hcxB,hcxB;
RDBECOLITUC00320,ybiJ,ybiJ,ybiJ;
RDBECOLITUC00321,ybiI,ybiI,ybiI;
RDBECOLITUC00322,ybiX,ybiX,ybiX;
RDBECOLITUC00323,mcbA,mcbA,mcbA;
RDBECOLITUC00324,ybiO,ybiO,ybiO;
RDBECOLITUC00325,rhtA,rhtA,rhtA;
RDBECOLITUC00326,mntR-ybiR,mntR-ybiR,ybiR;mntR;
RDBECOLITUC00327,ybiU,ybiU,ybiU;
RDBECOLITUC00328,ybiV,ybiV,ybiV;
RDBECOLITUC00329,ybiYW,ybiYW,ybiY;ybiW;
RDBECOLITUC00330,iaaA-gsiABCD,iaaA-gsiABCD,gsiD;gsiC;gsiB;gsiA;iaaA;
RDBECOLITUC00331,pdeI-dgcI,pdeI-dgcI,dgcI;pdeI;
RDBECOLITUC00332,bssR,bssR,bssR;
RDBECOLITUC00333,yliI,yliI,yliI;
RDBECOLITUC00334,deoR,deoR,deoR;
RDBECOLITUC00336,ybjJI,ybjJI,ybjJ;ybjI;
RDBECOLITUC00337,rybB,rybB,rybB;
RDBECOLITUC00338,ybjL,ybjL,ybjL;
RDBECOLITUC00339,ybjO-rlmC,ybjO-rlmC,rlmC;ybjO;
RDBECOLITUC00340,ybjQ-amiD,ybjQ-amiD,amiD;ybjQ;
RDBECOLITUC00341,ybjS,ybjS,ybjS;
RDBECOLITUC00342,poxB-ltaE-ybjT,poxB-ltaE-ybjT,poxB;ltaE;ybjT;
RDBECOLITUC00343,lysO,lysO,lysO;
RDBECOLITUC00344,aat,aat,aat;
RDBECOLITUC00345,trxB,trxB,trxB;
RDBECOLITUC00346,lolA-rarA,lolA-rarA,rarA;lolA;
RDBECOLITUC00347,serS,serS,serS;
RDBECOLITUC00348,ycaD,ycaD,ycaD;
RDBECOLITUC00349,ycaM,ycaM,ycaM;
RDBECOLITUC00350,pflA,pflA,pflA;
RDBECOLITUC00351,ycaO,ycaO,ycaO;
RDBECOLITUC00352,ycaP,ycaP,ycaP;
RDBECOLITUC00353,ycaL,ycaL,ycaL;
RDBECOLITUC00354,ycaI-msbA-lpxK-ycaQ,ycaI-msbA-lpxK-ycaQ,ycaQ;lpxK;msbA;ycaI;
RDBECOLITUC00355,ycaR-kdsB,ycaR-kdsB,kdsB;ycaR;
RDBECOLITUC00356,ycbJ,ycbJ,ycbJ;
RDBECOLITUC00357,ldtD,ldtD,ldtD;
RDBECOLITUC00358,mepK-gloC,mepK-gloC,gloC;mepK;
RDBECOLITUC00359,asnS,asnS,asnS;
RDBECOLITUC00360,elfA,elfA,elfA;
RDBECOLITUC00361,elfDCG-ycbUVF,elfDCG-ycbUVF,ycbF;ycbV;ycbU;elfG;elfC;elfD;
RDBECOLITUC00362,zapC,zapC,zapC;
RDBECOLITUC00363,ycbZ,ycbZ,ycbZ;
RDBECOLITUC00364,yccFS,yccFS,yccF;yccS;
RDBECOLITUC00365,mgsA,mgsA,mgsA;
RDBECOLITUC00366,yccT,yccT,csgI;
RDBECOLITUC00367,hspQ,hspQ,hspQ;
RDBECOLITUC00368,rlmI,rlmI,rlmI;
RDBECOLITUC00369,tusE,tusE,tusE;
RDBECOLITUC00370,yccA,yccA,yccA;
RDBECOLITUC00371,gfcE-etp-etk,gfcE-etp-etk,gfcE;etp;etk;
RDBECOLITUC00372,gfcBCD,gfcBCD,gfcB;gfcC;gfcD;
RDBECOLITUC00373,gfcA,gfcA,gfcA;
RDBECOLITUC00374,insA4AB4B4,insA4AB4B4,insB4;insA4;insAB4;
RDBECOLITUC00375,ymcE-gnsA,ymcE-gnsA,gnsA;ymcE;
RDBECOLITUC00376,yccM,yccM,yccM;
RDBECOLITUC00377,torS,torS,torS;
RDBECOLITUC00378,yccE,yccE,yccE;
RDBECOLITUC00379,wrbA-yccJ,wrbA-yccJ,wrbA;yccJ;
RDBECOLITUC00380,efeU,efeU,efeU;
RDBECOLITUC00381,efeOB,efeOB,efeB;efeO;
RDBECOLITUC00382,insE4F4EF4,insE4F4EF4,insE4;insF4;insEF4;
RDBECOLITUC00383,ymdE-ycdU,ymdE-ycdU,ycdU;ymdE;
RDBECOLITUC00384,ghrA,ghrA,ghrA;
RDBECOLITUC00385,ycdXY,ycdXY,ycdY;ycdX;
RDBECOLITUC00386,ycdZ,ycdZ,ycdZ;
RDBECOLITUC00387,ymdA,ymdAB-clsC,ymdA;
RDBECOLITUC00388,ymdB-clsC,ymdAB-clsC,clsC;ymdB;
RDBECOLITUC00389,yceK,yceK,yceK;
RDBECOLITUC00390,mdtG,mdtG,mdtG;
RDBECOLITUC00391,yceJI,yceJI,yceJ;yceI;
RDBECOLITUC00392,solA-yceO,solA-yceO,solA;yceO;
RDBECOLITUC00393,dinI,dinI,dinI;
RDBECOLITUC00394,yceB,yceB,yceB;
RDBECOLITUC00395,grxB,grxB,grxB;
RDBECOLITUC00396,mdtH,mdtH,mdtH;
RDBECOLITUC00397,murJ,murJ,murJ;
RDBECOLITUC00398,yceQ,yceQ,yceQ;
RDBECOLITUC00399,rluC,rluC,rluC;
RDBECOLITUC00400,pabC-mltG-tmk-holB-ycfH,pabC-mltG-tmk-holB-ycfH,ycfH;holB;tmk;mltG;pabC;
RDBECOLITUC00401,hinT-ycfL-lpoB-thiK-nagZ-ycfP,hinT-ycfL-lpoB-thiK-nagZ-ycfP,ycfP;nagZ;thiK;lpoB;ycfL;hinT;
RDBECOLITUC00402,ycfJ,ycfJ,ycfJ;
RDBECOLITUC00403,ldtC,ldtC,ldtC;
RDBECOLITUC00404,ycfT,ycfT,ycfT;
RDBECOLITUC00405,lolCDE,lolCDE,lolE;lolD;lolC;
RDBECOLITUC00406,nagK-cobB,nagK-cobB,cobB;nagK;
RDBECOLITUC00407,ymfA-ycfZ,ymfA-ycfZ,ymfA;ycfZ;
RDBECOLITUC00408,roxA,roxA,roxA;
RDBECOLITUC00409,rluE-nudJ,rluE-nudJ,rluE;nudJ;
RDBECOLITUC00410,ymfED,ymfED,ymfE;ymfD;
RDBECOLITUC00411,ymfH-xisE-intE,ymfH-xisE-intE,ymfH;xisE;intE;
RDBECOLITUC00412,ymfJ,ymfJ,ymfJ;
RDBECOLITUC00413,ymfK,ymfK,ymfK;
RDBECOLITUC00414,ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP,ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP,tfaP;ycfK;ymfQ;jayE;beeE;ymfR;ymfN;ymfM;ymfL;ymfT;
RDBECOLITUC00415,stfE-tfaE,stfE-tfaE,stfE;tfaE;
RDBECOLITUC00416,pinE,pinE,pinE;
RDBECOLITUC00417,mcrA,mcrA,mcrA;
RDBECOLITUC00418,icdC,icdC,icdC;
RDBECOLITUC00419,iraM,iraM,iraM;
RDBECOLITUC00420,ycgX,ycgX,ycgX;
RDBECOLITUC00421,bluR,bluR,bluR;
RDBECOLITUC00422,ycgZ,ycgZ-ymgA-ariR-ymgC,ycgZ;
RDBECOLITUC00423,ymgA-ariR,ycgZ-ymgA-ariR-ymgC,ariR;ymgA;
RDBECOLITUC00424,ymgC,ycgZ-ymgA-ariR-ymgC,ymgC;
RDBECOLITUC00425,pdeG,pdeG,pdeG;
RDBECOLITUC00426,ymgF,ymgF,ymgF;
RDBECOLITUC00427,None,ycgH,ycgH;
RDBECOLITUC00428,ymgGD,ymgGD,ymgG;ymgD;
RDBECOLITUC00429,ycgI,ycgI,ycgI;
RDBECOLITUC00430,ycgL,ycgL,ycgL;
RDBECOLITUC00431,ycgM,ycgM,ycgM;
RDBECOLITUC00432,ycgN,ycgN,ycgN;
RDBECOLITUC00433,dsbB,dsbB,dsbB;
RDBECOLITUC00434,nhaB,nhaB,nhaB;
RDBECOLITUC00435,cvrA,cvrA,cvrA;
RDBECOLITUC00436,ldcA,ldcA,ldcA;
RDBECOLITUC00437,ymgE,ymgE,ymgE;
RDBECOLITUC00438,ycgY,ycgY,ycgY;
RDBECOLITUC00439,ycgV,ycgV,ycgV;
RDBECOLITUC00440,dauA,dauA,dauA;
RDBECOLITUC00441,ychS,ychS,ychS;
RDBECOLITUC00442,rttR,rttR,rttR;
RDBECOLITUC00443,purU,ychJ-purU,purU;
RDBECOLITUC00444,ychJ,ychJ-purU,ychJ;
RDBECOLITUC00445,insZ,insZ,insZ;
RDBECOLITUC00446,ychE,ychE,ychE;
RDBECOLITUC00447,yciI,yciI,yciI;
RDBECOLITUC00448,yciA,yciA,yciA;
RDBECOLITUC00449,yciCB,yciCB,yciC;yciB;
RDBECOLITUC00450,yciGFE,yciGFE,yciE;yciF;yciG;
RDBECOLITUC00451,yciVOQ,yciVOQ,yciQ;yciO;rnm;
RDBECOLITUC00452,rluB,rluB,rluB;
RDBECOLITUC00453,yciK-btuR,yciK-btuR,yciK;btuR;
RDBECOLITUC00454,ymiA-yciX,ymiA-yciX,yciX;ymiA;
RDBECOLITUC00455,pgpB,pgpB,pgpB;
RDBECOLITUC00456,lapAB,yciSM-pyrF-yciH,lapB;lapA;
RDBECOLITUC00457,yciW,yciW,yciW;
RDBECOLITUC00458,fabI,fabI,fabI;
RDBECOLITUC00459,ycjD,ycjD,ycjD;
RDBECOLITUC00460,sapABCDF,sapABCDF,sapA;sapB;sapC;sapD;sapF;
RDBECOLITUC00461,ymjA,ymjA,ymjA;
RDBECOLITUC00462,puuAP,puuAP,ymjE;puuP;puuA;
RDBECOLITUC00463,puuDRCBE,puuDRCBE,puuE;puuB;puuC;puuR;puuD;
RDBECOLITUC00464,puuCBE,puuDRCBE,puuE;puuB;puuC;
RDBECOLITUC00465,ycjMNOPQRSTUV-ymjB-ompG,ycjMNOPQRSTUV-ymjB-ompG,ompG;ymjB;ycjV;ycjU;ycjT;ycjS;ycjR;ycjQ;ycjP;ycjO;ycjN;ycjM;
RDBECOLITUC00466,ompG,ycjMNOPQRSTUV-ymjB-ompG,ompG;
RDBECOLITUC00467,ycjXF,ycjXF-tyrR,ycjF;ycjX;
RDBECOLITUC00468,ymjC-mpaA,ycjY-ymjDC-mpaA,ymjC;mpaA;
RDBECOLITUC00469,ycjY,ycjY-ymjDC-mpaA,ycjY;
RDBECOLITUC00470,pgrR,pgrR,pgrR;
RDBECOLITUC00471,mppA,mppA,mppA;
RDBECOLITUC00472,insH4,insH4,insH4;
RDBECOLITUC00473,ynaJ,ynaJ,ynaJ;
RDBECOLITUC00474,uspE,uspE,uspE;
RDBECOLITUC00475,abgABT-ogt,abgABT-ogt,abgA;abgB;abgT;ogt;
RDBECOLITUC00476,zntB,zntB,zntB;
RDBECOLITUC00477,ttcA,ttcA,ttcA;
RDBECOLITUC00478,recET-ralR-rcbA-xisR-intR,recET-ralR-rcbA-xisR-intR,recE;recT;ralR;rcbA;xisR;intR;
RDBECOLITUC00479,racC,racC,racC;
RDBECOLITUC00480,kilR-ydaE,kilR-ydaE,kilR;ydaE;
RDBECOLITUC00481,ydaGF,ydaGF,ydaG;ydaF;
RDBECOLITUC00482,racR,racR,racR;
RDBECOLITUC00483,ydaSTUVW-rzpR,ydaSTUVW-rzpR,rzpR;ydaW;ydaV;ydaU;ydaT;ydaS;
RDBECOLITUC00484,rzoR,rzoR,rzoR;
RDBECOLITUC00485,trkG,trkG,trkG;
RDBECOLITUC00486,ynaK-ydaY,ynaK-ydaY,ydaY;ynaK;
RDBECOLITUC00487,ynaA-lomR,ynaA-lomR,lomR;ynaA;
RDBECOLITUC00488,stfR-tfaR,stfR-tfaR,tfaR;stfR;
RDBECOLITUC00489,pinR,pinR,pinR;
RDBECOLITUC00490,ynaE,ynaE,ynaE;
RDBECOLITUC00491,uspF,uspF,uspF;
RDBECOLITUC00492,ompN,ydbK-ompN,ompN;
RDBECOLITUC00493,hslJ,hslJ,hslJ;
RDBECOLITUC00494,ydbH-ynbE-ydbL,ydbH-ynbE-ydbL,ydbL;ynbE;ydbH;
RDBECOLITUC00495,ydbA,ydbA,ydbA;
RDBECOLITUC00496,insC2D2CD2,insC2D2CD2,insC2;insD2;insCD2;
RDBECOLITUC00497,insI2,insI2,insI2;
RDBECOLITUC00498,pdxI,pdxI,pdxI;
